dblabel	dblabelEFO	EFO	short_dblabel	is_level	l4	l4EFO	l3	l3EFO	l2	l2EFO	l1	l1EFO	l0	l0EFO
Use this one for labelling	identical to dblabel if EFO term present	EFO ID if present, otherwise internal DB ID	Used only for plotting; should also be unique & consistent	hierarchy level										
cultured cell	cultured cell	CL:0000010	Cultured	0										
germ line stem cell	germ line stem cell	CL:0000014	GermLineStem	3					stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
male germ line stem cell	male germ line stem cell	CL:0000016	MaleGerm	4			germ line stem cell	CL:0000014	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
spermatocyte	spermatocyte	CL:0000017	Spermatocyte	5	male germ line stem cell	CL:0000016	germ line stem cell	CL:0000014	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
spermatid	spermatid	CL:0000018	Spermatid	5	male germ line stem cell	CL:0000016	germ line stem cell	CL:0000014	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
sperm	sperm	CL:0000019	Sperm	5	male germ line stem cell	CL:0000016	germ line stem cell	CL:0000014	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
stem cell	stem cell	CL:0000034	Stem	2							precursor cell	CL:0011115	cell	CL:0000548
epithelial fate stem cell	epithelial fate stem cell	CL:0000036	EpithelialStem	4			somatic stem cell	CL:0000723	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
hematopoietic stem cell	hematopoietic stem cell	CL:0000037	HematoStem	3					hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
neuronal stem cell	neuronal stem cell	CL:0000047	NeuronalStem	4			multi fate stem cell	CL:0000048	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
multi fate stem cell	multi fate stem cell	CL:0000048	MultiFateStem	3					stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
common myeloid progenitor	common myeloid progenitor	CL:0000049	CommonMyeloidPC	3					hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
megakaryocyte-erythroid progenitor cell	megakaryocyte-erythroid progenitor cell	CL:0000050	MegakaryoErythroidPC	3					hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
common lymphoid progenitor	common lymphoid progenitor	CL:0000051	CommonLymphoidPC	3					hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
fibroblast	fibroblast	CL:0000057	Fibroblast	2							connective tissue cell	CL:0002320	cell	CL:0000548
osteoblast	osteoblast	CL:0000062	Osteoblast	2							connective tissue cell	CL:0002320	cell	CL:0000548
ependymal cell	ependymal cell	CL:0000065	Ependymal	3					ciliated epithelial cell	CL:0000067	epithelial cell	CL:0000066	cell	CL:0000548
epithelial cell	epithelial cell	CL:0000066	Epithelial	1									cell	CL:0000548
ciliated epithelial cell	ciliated epithelial cell	CL:0000067	CiliatedEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
duct epithelial cell	duct epithelial cell	CL:0000068	DuctEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
branched duct epithelial cell	branched duct epithelial cell	CL:0000069	BranchedDuctEpith	3					duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
