MGI	HGNC
Map2k3	MAP2K3
Epha2	EPHA2
Polg2	POLG2
Crls1	CRLS1
mt-Atp6	MT-ATP6
mt-Co2	MT-CO2
Pabpn1l	PABPN1L
Tyw1	TYW1B
Mboat4	MBOAT4
Mcrip1	MCRIP1
Sema3g	SEMA3G
Shisa9	SHISA9
Rras2	RRAS2
Abca7	ABCA7
mt-Nd4l	MT-ND4L
Gstp1	GSTP1
Hand2	HAND2
Wnt7b	WNT7B
Ado	ADO
Sult1b1	SULT1B1
Wwp2	WWP2
Ctso	CTSO
mt-Co3	MT-CO3
Mybpc3	MYBPC3
Sh2d6	SH2D6
Sephs1	SEPHS1
Slc38a3	SLC38A3
mt-Nd1	MT-ND1
mt-Cytb	MT-CYB
Slc16a13	SLC16A13
C2cd2	C2CD2
mt-Nd4	MT-ND4
Slc22a19	SLC22A9
Slc22a28	SLC22A9
mt-Nd2	MT-ND2
Slc22a29	SLC22A9
mt-Nd3	MT-ND3
Reg1	REG1A
Slc22a27	SLC22A9
Hoxa11	HOXA11
mt-Nd5	MT-ND5
Ccin	CCIN
Reg2	REG1A
mt-Atp8	MT-ATP8
Mki67	MKI67
Zbtb34	ZBTB34
Rcl1	RCL1
Slc22a30	SLC22A9
Spata31	SPATA31A5
mt-Co1	MT-CO1
Dctn6	DCTN6
Lims2	LIMS2
Il20rb	IL20RB
Nedd9	NEDD9
mt-Nd6	MT-ND6
Gstp2	GSTP1
Slc22a26	SLC22A9
Slc16a11	SLC16A11
Hmox1	HMOX1
Mettl21a	METTL21A
Hmox2	HMOX2
Ralgapb	RALGAPB
Itga11	ITGA11
Rcn2	RCN2
Nf2	NF2
Zfp449	ZNF449
Ints6l	INTS6L
Tex29	TEX29
Idi2	IDI2
Ccr8	CCR8
Capn13	CAPN13
Duoxa1	DUOXA1
Fev	FEV
Gm9745	IDI2
Phax	PHAX
Bmp7	BMP7
Cpt1a	CPT1A
Idi1	IDI1
Panx1	PANX1
Gca	GCA
Smim10l2a	SMIM10L2A
Leprotl1	LEPROTL1
Tas2r139	TAS2R39
Aamdc	AAMDC
Rnase9	RNASE9
Kcnh7	KCNH7
Nck1	NCK1
Fstl4	FSTL4
Pip	PIP
Tex43	TEX43
Ccdc34	CCDC34
Bcl9l	BCL9L
Nlrc5	NLRC5
Cacng2	CACNG2
Upk2	UPK2
Olfr459	OR9A2
Trdmt1	TRDMT1
Dsc2	DSC2
Tubb4a	TUBB4A
Mmd	MMD
Nsun7	NSUN7
Pof1b	POF1B
Rpa1	RPA1
Slf2	SLF2
B3gnt3	B3GNT3
Hilpda	HILPDA
Mettl2	METTL2B
Smyd4	SMYD4
Creb1	CREB1
Naglu	NAGLU
Golga2	GOLGA8F
Duox2	DUOX2
Gnptg	GNPTG
Arhgef19	ARHGEF19
Tango2	TANGO2
Cryba2	CRYBA2
Oxa1l	OXA1L
Tdrd3	TDRD3
Fbxl3	FBXL3
Vsig4	VSIG4
